# Data columns are: <z>, fit,   r < 24.0
  1.4549e-02   7.7781e-03
  3.8057e-02   4.8598e-02
  5.7961e-02   1.0439e-01
  8.0800e-02   1.8573e-01
  1.0452e-01   2.8357e-01
  1.2613e-01   3.7991e-01
  1.4747e-01   4.7825e-01
  1.7039e-01   5.8436e-01
  1.9268e-01   6.8563e-01
  2.1662e-01   7.9006e-01
  2.3927e-01   8.8318e-01
  2.6162e-01   9.6860e-01
  2.8569e-01   1.0525e+00
  3.0657e-01   1.1180e+00
  3.2977e-01   1.1828e+00
  3.5265e-01   1.2382e+00
  3.7555e-01   1.2854e+00
  3.9754e-01   1.3231e+00
  4.2095e-01   1.3553e+00
  4.4370e-01   1.3791e+00
  4.6582e-01   1.3955e+00
  4.8798e-01   1.4059e+00
  5.1105e-01   1.4105e+00
  5.3448e-01   1.4093e+00
  5.5743e-01   1.4029e+00
  5.7939e-01   1.3924e+00
  6.0213e-01   1.3774e+00
  6.2489e-01   1.3587e+00
  6.4744e-01   1.3369e+00
  6.7085e-01   1.3112e+00
  6.9324e-01   1.2842e+00
  7.1569e-01   1.2551e+00
  7.3807e-01   1.2243e+00
  7.6174e-01   1.1902e+00
  7.8443e-01   1.1562e+00
  8.0679e-01   1.1219e+00
  8.3013e-01   1.0854e+00
  8.5169e-01   1.0512e+00
  8.7531e-01   1.0135e+00
  8.9748e-01   9.7807e-01
  9.2061e-01   9.4121e-01
  9.4340e-01   9.0510e-01
  9.6600e-01   8.6968e-01
  9.8792e-01   8.3576e-01
