# Data columns are: <z>, fit,   r < 22.0
  1.4549e-02   3.2202e-02
  3.8057e-02   1.8743e-01
  5.7891e-02   3.7839e-01
  8.0593e-02   6.2735e-01
  1.0436e-01   8.9331e-01
  1.2574e-01   1.1195e+00
  1.4741e-01   1.3255e+00
  1.7001e-01   1.5093e+00
  1.9230e-01   1.6566e+00
  2.1598e-01   1.7756e+00
  2.3932e-01   1.8568e+00
  2.6150e-01   1.9033e+00
  2.8556e-01   1.9235e+00
  3.0606e-01   1.9190e+00
  3.2976e-01   1.8926e+00
  3.5264e-01   1.8492e+00
  3.7560e-01   1.7914e+00
  3.9753e-01   1.7258e+00
  4.2093e-01   1.6473e+00
  4.4365e-01   1.5652e+00
  4.6577e-01   1.4817e+00
  4.8788e-01   1.3963e+00
  5.1109e-01   1.3063e+00
  5.3463e-01   1.2157e+00
  5.5757e-01   1.1293e+00
  5.7933e-01   1.0497e+00
  6.0207e-01   9.6960e-01
  6.2495e-01   8.9256e-01
  6.4751e-01   8.2047e-01
  6.7102e-01   7.4958e-01
  6.9321e-01   6.8675e-01
  7.1567e-01   6.2721e-01
  7.3789e-01   5.7226e-01
  7.6172e-01   5.1763e-01
  7.8434e-01   4.6975e-01
  8.0685e-01   4.2581e-01
  8.3001e-01   3.8425e-01
  8.5160e-01   3.4869e-01
  8.7548e-01   3.1270e-01
  8.9746e-01   2.8249e-01
  9.2085e-01   2.5321e-01
  9.4331e-01   2.2768e-01
  9.6591e-01   2.0436e-01
  9.8786e-01   1.8380e-01
